Premise 1,Premise 2,Syllogistic relation,Conclusion,index
Solar panels can not function effectively without sunlight,There's hardly any sunlight during cloudy and rainy days,yes,Solar panels can not function during cloudy and rainy days,1678
The medical community defines constipation as a reduction in bowel movements or difficulty passing stools.,"Probiotics are often called ""good"" bacteria, and they may help to improve gut health and soften stools.",yes,Probiotics can help to relieve constipation.,1680
the company does not own any online shopping facilities ,a lack of sales at online platforms results in losing many profit opportunities,yes,the company looses many profit opportunities,1681
"Moving and driving to a place costs such as gas, parking, or bus tickets.",Visiting a conventional retail store requires traveling or commuting by car.,yes,"visiting a conventional retail store costs such as gas, parking, or bus tickets",1682
Russian athletes were involved in systematic doping.,Systematic doping detracts from clean sport.,yes,Russian athletes detracted from clean sport.,1684
African-americans have more severe high blood pressure,Having a higher blood pressure increases the risks of heart diseases,yes,African-americans have an increased risk of heart diseases,1686
Different user interfaces may result to see some stuff like emoji differently.,Different companies use different user interfaces for their cell phones.,yes,So different cell phones make emoji look differently.,1688
The invention of the paper machine supported a massive expansion of newspaper and popular book publishing,"the huge growth of printed written works,contributed to rising literacy and demands for mass political participation",yes,"The invention of the paper machine,contributed to rising literacy and demands for mass political participation",1689
Emergent coastlines are identifiable by the coastal landforms,"shore side terrains,such as raised beaches are above the high tide mark",yes,Emergent coastlines are identifiable by raised beaches are above the high tide mark,1691
"Some hair loss can result from a combination of genetics, aging and hormones.","Combination of genetics, aging and hormones change hair growth cycle.",yes,Some hair loss can result from changing hair growth cycle.,1693
Social media helps children connect with extended family members,Building relationships with distant family members is the first step in overcoming shyness,yes,Social media helps children overcome shyness,1694
extra lines will cover almost all parts of the city,the new underground railway will have many travelling lines,yes,the new underground railway will cover almost all parts of the city,1695
eating whole foods prevent major and minor diseases,"if you get sick less often , you'll have lower health care costs ",yes,eating whole foods lower your healthcare costs,1699
Reduced value of money will raise the cost of living.,High inflation reduces the currency value of the country.,yes,High inflation will raise the cost of living.,1700
A common concern about vegetarian and vegan diets is that they might lack sufficient protein.,"Higher-protein diets can promote muscle strength, satiety and weight loss.",yes,"A common concern about vegetarian and vegan diets is that they might not promote muscle strength, satiety and weight loss.",1703
Most Startups get too excited to launch their product without testing the market,"Skipping the market analysis step, might come out as costly",yes,"Startups excitement about launching their product, might come out as costly",1704
"if livelihoods are broadly deteriorated, communities get severely affected","Anytime there is a disaster rooted in a natural phenomenon, there is extensive damage to property",yes,"Anytime there is a disaster rooted in a natural phenomenon, communities are severely affected",1705
During the second World War many new engineering problems were made.,New engineering problems leads to new solutions and further knowledge.,yes,The second World War problems led to new solutions and further knowledge.,1706
Eye irritation can be avoided by getting away from onion gas spread. ,cutting onions under running water or submerged in a basin of water is a way to get rid of onion gas diffusion.,yes,cutting onions under running water or submerged in a basin of water is a way to Eye No conclusionitation avoidance,1709
more investment requires high levels of inventory,"When an existing product market is saturated, you have to put more money into your business",yes,"When an existing product market is saturated,you need need high levels of inventory",1713
Residents of southwest region in Iran often speak Lurish language.,Chaharmahal and Bakhtiari is a province located in southwestern part of Iran.,yes,Chaharmahal and Bakhtiarian’s often speak Lurish language.,1715
"when plates under continents move, they can lead to an increase in pressure underneath the earth.  ",    Continents sit on massive plates that occasionally shift.,yes,continents sit on huge plates that can lead to increase in pressure underneath the earth,1716
Fathers can't defend victorian attitudes to children.,victorian beliefs are old-fashioned with rigorous moral views.,yes,Fathers can't defend old-fashioned with rigorous moral views to children.,1717
Several species of the benign bacteria in the intestine use fermentation as a form of anaerobic metabolism,"the utilization of agitation in an oxygen free process,can be sufficient to cause ""auto-brewery syndrome"" in which intoxicating quantities of alcohol are produced",yes,"Several species of the benign bacteria in the intestine can be sufficient to cause ""auto-brewery syndrome"" in which intoxicating quantities of alcohol are produced",1718
Solving enigmatic ancient puzzle gifts the solver with Godly powers.,Yugi finally managed to decipher mysterious prehistoric puzzle box.,yes,Yugi is gifted with Godly powers.,1719
showing the variations can help children to identify themselves as an individual ,The competition may be a strong indication that each child is assertive enough to express his or her differences with other siblings,yes,The competition may be a strong indication that help children to identify themseleves as an individual,1721
the emergence of great factories and the concomitant immense growth in coal consumption gave rise to an unprecedented level of air pollution in industrial centers,The origins of the environmental movement lay in the response to extraordinary levels of smoke contamination in the atmosphere in commercial hubs,yes,The origins of the environmental movement lay in the response to the emergence of great factories and the concomitant immense growth in coal consumption,1722
economic impacts affect millions of people,the decision will have economic effects,yes,the decision will effect millions of people,1723
A public university is a university that is owned by government,Barcelona has higher education system of public universities,yes,Barcelona has a higher education system of government-owned universities,1724
Spider-Man found the object utilized for virtual realistic effects.,Discovery of virtual reality generator revealed the mockery behind the deeds of Mysterio.,yes,Spider-man revealed the mockery behind the deeds of Mysterio.,1726
There will be a freefall in unemployment rates when new establishments are initiated,Bringing tourists into a community creates opportunities for entrepreneurs to establish new services and products,yes,There will be a freefall in unemployment rates when tourists are brought into a community,1727
You should be creative to be able to use different learning models,Teachers in modern class rooms cater to multiple learning styles,yes,Teachers in modern class rooms should be creative,1728
Smooth and wet can contribute to the car slide.   ,Road conditions as a result of the rain can make roads to become slick and slippery.,yes,Road conditions as a result of the rain can contribute to car slide ,1731
the new system is a lot faster and more efficient ,faster performance can noticably increase production,yes,the new system can noticably increase production,1733
A new excavations discovered the remains of Cannabis.,Remnants of addictive drugs revealed the popularity of weed at ancient times.,yes,A new excavations revealed the popularity of weed at ancient times.,1734
Adult male penguins are the ones who look after the eggs.,The penguin that looks after the eggs has to hatch them.,yes,Adult male penguins to hatches the eggs.,1739
Caterpillars have the organ that its name is monarch.,The organ that its name is monarch protectes the bitter sap of the milkweed plant that Caterpillar eats.,yes,Caterpillars have the organ that protectes the bitter sap of the milkweed plant that it eats.,1741
Educated people have an above average understanding,"Research shows that People who know more than the average person, tend to earn more",yes,Research shows that educated people tend to earn more,1744
An average golf course needs large quantities of water,Countries in the middle east can not provide large amounts of water for their people,yes,Countries in the middle east can not provide golf courses for their people,1746
An airport includes a landing area,"an airfield,comprises an aerially accessible open space including at least one operationally active surface such as a runway for a plane to take off",yes,An airport includes an aerially accessible open space including at least one operationally active surface such as a runway for a plane to take off,1750
Changes among brain chemicals such as serotonin cause start sending pain messages to the brain.,Some scientists now believe that tension headaches may result from changes among brain chemicals such as serotonin.,yes,Some scientists now believe that tension headaches may result from start sending pain messages to the brain.,1751
stress hormones speed heart rate and make blood vessels tighten,Depression and anxiety are closely related.,yes,Depression and speeding heart rate and making blood vessels tighten are closely related,1756
"The ability to save lives, is an effective factor in the increase of population.",Overpopulation could have a bad effect on the quality of air.,yes,The ability to save lives could have a bad effect on the quality of air.,1757
"Parthians in the past perform ""hit and run"" strategy.",Rapid attack followed by instant fleeing method is utilized by modern Partisans.,yes,Parthians war strategy is utilized by modern Partisans.,1760
Lessen differences between individuals diagnosed with autism and those who don’t have autism means that more people with less profound symptoms are being diagnosed with the condition.,"A new study finds that, over time, the differences between individuals diagnosed with autism and those who don’t have autism have decreased.",yes,"A new study finds that, over time, more people with less profound symptoms are being diagnosed with autism",1761
Moderate HDL is linked to a lower risk of many diseases.,Eating eggs consistently leads to elevated levels of HDL cholesterol.,yes,Eating eggs consistently leads to a lower risk of many diseases.,1762
"Sudden increse in blood sugar and insulin levels cause increased androgen secretion, oil production and inflammation.",Sugary foods quickly spike blood sugar and insulin levels.,yes,"Sugary foods increased androgen secretion, oil production and inflammation.",1763
Assessable goals are usually the ones tied to higher-level intentions,Having measurable objectives ensures that the strategic plan is focused on achieving specific results,yes,Having goals that are tied to higher-level intentions ensures that the strategic plan is focused on achieving specific results,1768
Noah the prophet gathered couples from each species.,Collecting pair of each animal was intended to prevent extinction.,yes,Noah intended to prevent extinction.,1770
Half of over all experience comes from unpleasantness of your staff,"Nasty remarks, laughing at the guests, or even getting into an argument with hotel guests are some examples of annoying employees",yes,"Half of over all experience comes from nasty remarks, laughing at the guests or even getting into an argument with hotel guests by your staff",1772
Hosting a major sporting event promotes volunteerism,increased levels of participation are usually associated with civic virtues,yes,Hosting a major sporting event is usually associated with civic virtues,1780
"Climate change is changing in Earth's climate system result in new weather patterns that last for at least a few decades, and maybe for millions of years.",The reason of decreasing the cacao tree population is climate change.,yes,"The reason of decreasing the cacao tree population is changing in Earth's climate system result in new weather patterns that last for at least a few decades, and maybe for millions of years.",1782
steel tool will get rusty when it hasn't been polished for a while,my army pocket knife is not bright and shiny anymore,yes,my army pocket knife hasn't been polished for a while,1783
Disrupting this process and leads to abnormal growth in cells is caused by changes or mutations in DNA.,Cancer disrupts this process and leads to abnormal growth in cells.,yes,Cancer is caused by changes or mutations in DNA.,1784
Dams save water in their reservoir during wet seasons.,Saving water provides enough water for people and farmers during the summer.,yes,Dams provide enough water for people and farmers during the summer.,1788
"Arthritis has many different types, but most involve some form of inflammation in the joints.",The plant compounds in pomegranate have anti-inflammatory effects.,yes,Pomegranate extract may be beneficial against several forms of arthritis.,1790
"when a business becomes qualified for international countries, can create jobs and boosts economic growth  ",Exports make domestic companies more experienced in producing for foreign markets.,yes,Exports can create jobs and boosts economic growth,1791
"In a constitutional monarchy, the monarch’s power is subject to a constitution","In most current constitutional monarchies, the monarch is mainly a ceremonial figurehead symbol of national unity and state continuity",yes,"if the monarch’s power is subject to a constitution,he is mainly a ceremonial figurehead symbol of national unity and state continuity",1792
Some diseases can spread easily from one person to another by skin contact.,Sara has a contagious disease and kissed Micheal.,yes,Micheal has a contagious disease.,1793
The chest is one of the most useful tissues of the body.,Workout gives the body's muscles the best performance. ,yes, workout give the chest's best performance,1796
Education changes the lives of millions of people around the world,Education is easily carried out using internet,yes,Internet changes the lives of millions of people around the world,1797
new business models can transform markets,"Digitalisation enables new business models, logics and ecosystems",yes,Digitalisation can transform markets,1798
Successful restaurants employ staff who work to accomplish the restaurant’s goals,"Employees who do their job well so that the restaurant will achieve its objectives, leave a good impression on customers",yes,Successful restaurants leave a good impression on customers,1801
When your brain gets more alert the urge gets even stronger.,If you try not to “catch” someone’s yawn your brain gets more alert.,yes,If you try not to “catch” someone’s yawn the urge gets even stronger.,1802
"a seaplane establishment,typically includes a stretch of open water for takeoffs and landings, and seaplane docks for tying-up",An airport for use by seaplanes and amphibious aircraft is called a seaplane base,yes,"An airport for use by seaplanes and amphibious aircraft,typically includes a stretch of open water for takeoffs and landings, and seaplane docks for tying-up",1803
Death of Jimmy Hoffa cost Frank his relation with his oldest daughter.,Frank Sheeran was forced by mob bosses to terminate Jimmy Hoffa.,yes,Frank Sheeran’s relation with his oldest daughter was ended.,1804
you can't swim any other time of the year but summer,at this time of the year I can swim in the pool,yes,the time of the year is summer,1805
 smoking increases the risk of having a brain stroke,A brain attack can cause severe damages and even death to people.,yes, smoking increases the risk of having a severe damages and even death to people.,1806
In a philosophical context epistemology is the study of knowledge in general and examples of philosophical. ,"Epistemological questions are what does knowledge mean, how does a person get to know something, and what is the basis for true knowledge. ",yes,In a philosophical context study of knowledge in general and examples of philosophical are what knowledge means and how a person gets to know something and what the basis for true knowledge is. ,1808
Poor engineering design considerations may make deep excavation collapse.,Deep excavation collapse puts people's life in danger.,yes,Poor engineering design considerations put people's life in danger.,1809
"Whenever the cuticle can't protect the central parts of the hair shaft, your hair start to drying.","Washing, styling and coloring your hair can damage the cuticle, rendering it unable to protect the central parts of the hair shaft.",yes,"Washing, styling and coloring your hair can damage the cuticle, and your hair start to drying.",1811
Education should play a major role in efforts to protect the environment,Preserving the environment definitely improves air quality. ,yes,Education should play a major role in efforts to improve air quality.,1813
a large percentage of the population have declared that they are unable to either read or write,not being able to read or write defines illiteracy,yes,a large percentage of the population is illiterate,1814
" If everyone started doing all their shopping online, all the local stores would go out of business.","When all the shops in town are withdrawn, we'll have to drive further and further away to shop at a real store.   ",yes," If everyone started doing all their shopping online, we'll have to drive further and further away to shop at a real store. ",1817
States with better public welfares require high tax payments.,California is equipped with various amount of public service options.,yes,California require high tax payments,1818
Making a whistling or squeaky sound while breathing called wheezing.,As asthma sufferers may also make a whistling or squeaky sound while breathing.,yes,As asthma sufferers may also make wheezing.,1820
"When people feel happy, they tend to feel confident, optimistic, and energetic.",  Being true to ourselves a way to promote a sense of personal satisfaction. ,yes,"being true to ourselves a way to promote feeling of confident, optimistic, and energetic",1821
there's strong tendency of the moonsons to ascend and produce copious amounts of rain if condensation happens,"in warmer seasons of the year,water vapors in the rising air",yes,there's strong tendency of the moonsons to ascend and produce copious amounts of rain in warmer seasons of the year,1824
extra lines help a lot with improving the traffic flow,this route will have two more extra lines ,yes,this route will have improved traffic flow,1825
The presence of jungles results in temperate weather.,Mazandaran is covered in vastly-expanded forests.,yes,Mazandaran has temperate weather.,1826
Drinking Fizzy drinks increase the amount of gas in your stomach,"the gases in your stomach expand when you're flying, leaving you bloated and uncomfortable",yes,Drinking Fizzy drinks leave you bloated and uncomfortable when you're flying ,1827
"when a customer places an order online, they take their time to browse the whole of the menu","When you have an online ordering system, customers can arrange their food online",yes,"When you have an online ordering system, customers Take their time to browse whole of the menu",1828
wilting is resulted by lack of water,the plants in the yard are extremely wilted,yes,the plants in the back yard are in the lack of oxygen,1829
excessive exposure to UV-B radiation can bring about genetic damage,hereditary harm is associated with problem such as skin cancer,yes,excessive exposure to UV-B radiation can bring about problems such as skin cancer,1830
Scientific innovations and technological improvements contributed to the advancement of agriculture.,a country with high-level cultivation and farming can export foods and have a remarkable income of this way.,yes,Scientific innovations and technological improvements contributed to  export foods and have a remarkable income of this way.,1832
"Traditional methods involve filtering, staining, and examining samples under a microscope",Sewage can be monitored for both disease-causing and benign organisms with conventional techniques,yes,"Sewage can be monitored for both disease-causing and benign organisms with filtering, staining, and examining samples under a microscop",1834
you can not feel hungry and happy at the same time.,dieters are always starving.,yes,dieters can not feel happy.,1836
"When parents decide to homeschool their children, at least one of them must stay at home","When one parent does not work, the whole family could face financial disadvantages",yes,"When parents decide to homeschool their children, the whole family could face financial disadvantages",1837
Keyser Söze eliminated the Hungarian mob by exploding their ship.,The destruction of Hungarian vessel caught the attention of FBI.,yes,Keyser Söze caught the attention of FBI.,1839
Police found traces of dry blood on the corpse of the victim.,Old blood trail on the body assigned the case as a homicide.,yes,Police assigned the case as homicide.,1842
"after industrial revolution, factories employed people to work on a organized  production team.","working on an ordered group, direct to faster, cheaper, and more efficient production.",yes,"after industrial revolution, factories direct to faster, cheaper, and more efficient production.",1852
"consumption of dead parts of the body, offers cells a chance to rehabilitate damaged organs.",Useful parasites feed off their hosts' dead organs.,yes,Useful No conclusionsites offer cells a chance to rehabilitate damaged organs.,1853
The Mediterranean diet is known to be high in fiber,"Eating foods which are higher in fiber,helps with healthy weight loss and metabolism",yes,Eating foods which are in the Mediterranean diet helps with healthy weight loss and metabolism,1854
Wreckage of petroleum ship in Pacific Ocean severely damaged the environment.,British Petroleum’s ignorance resulted in the sinking of oil tanker in Pacific Ocean.,yes,British Petroleum’s ignorance severely damaged the environment.,1855
Forgetfulness can contribute to a weak work performance,People with severe anxiety tend to have difficulties remembering tasks,yes,People with severe anxiety tend to have a weak work performance,1858
non-profit organizations publish critisism against government more often.,The Associated Press (AP) is an American not-for-profit news agency,yes,Associated Press publishes critisism against government more often.,1859
Releasing some material in onion can motivate nerves in the eye. ,stimulation of nerves in the eye  often contribute to a stinging sensation in the eyes.,yes,releasing some material in onion can contribute to a stinging sensation in the eyes,1860
Inner Eurasian residents had emerged on the certain steps of Pastoralism.,Pastoralism is a lifestyle in which economy is based primarily on livestock. ,yes,Inner Eurasian residents’ economy was based primarily on livestock.,1862
loss of vegetation can increase carbon releae,vegetation is lost when wildfires happen,yes,wildfires can increase carbon release,1863
"The more agreeable someone is, the more likely they are to be trusting.",Trustworthy people are integrity,yes,Agreeable people are integrity.,1866
"In addition to being admired for its beauty and symbolism, the daffodil is grown in Wales to produce galantamine.",Galantamine is a chemical matter that is used to treat Alzheimer's disease.,yes,"In addition to being admired for its beauty and symbolism, the daffodil is grown in Wales to produce a chemical matter that is used to treat Alzheimer's disease.",1867
Animals in the wild appear to be relatively free from eating disorders .,Disturbed consumption can lead to diabetes. ,yes,Animals in the wild appear to be relatively free from diabetes,1874
Getting familiar with new words fastens the process of learning a foreign language,Reading helps you gain exposure to words used in context,yes,Reading fastens the process of learning a foreign language ,1875
Rapid construction has led to extensive land areas being covered with cement.,Embracing the land with concrete makes the flow of water very strong.,yes,rapid construction has led to making the flow of water very strong,1876
"loss of soil fertility has serious knock-on effects for humans, such as malnutrition.",Land degradation can contribute to a lack of soil productivity. ,yes,"land degaradation can contribute to serious knock-on effects for humans, such as malnutrition.",1878
Drivers who engage in road rage tend to vent their stress or frustration on other motorists who share the road.,Motorists involved in a stressful or emotional phone conversation may inadvertently exhibit aggressive behavior.,yes,Motorists involved in a stressful or emotional phone conversation may vent their stress or frustration on other motorists who share the road,1879
Transport infrastructure consists of fixed installations,"Permanent establishments include roads, railways, airways, waterways, canals and pipelines and terminals",yes,"Transport infrastructure consists of roads, railways, airways, waterways, canals and pipelines and terminals",1880
"in many species of birds and reptiles, males and females have different colors", A difference in coloration of sexes within a given species is called sexual dichromatism,yes,many species of birds and reptiles are sexual dichromatism,1881
When you share your personal information online they can easily be taken by the hackers,Information obtained by hackers can be used in illegal transactions,yes,"When you share your personal information online, they can be used in illegal transactions",1884
  Mobile phones can stop students from dedicating their full attention to their education. ,not devoting full consideration to studies negatively influences students' school performance,yes,mobile phones can negatively influence students' school performance ,1888
Added sugars decreased insulin sensitivity and a higher risk of several chronic conditions.,Both brown and white sugar are considered added sugars.,yes,Both brown and white sugar decreased insulin sensitivity and a higher risk of several chronic conditions.,1891
The government must ensure the rights of women in all respects.,one of the women's rights is protection of mothers? particularly during pregnancy and child-rearing.,yes,The government must protect of mothers? particularly during pregnancy and child-rearing.,1892
the creative industries generate income through trade and intellectual property rights,"After 15 Years In WTO, China Still Weak On Many IP Rights Rules",yes,China face many obstacles in generating income from creative industry.,1895
most retail shops are free of paying for shipping costs,most businesses that pay zero cash for delivery expenditure are likely to have better customer services,yes,most retail shops are likely to have better customer services,1896
architecture and urbanism evolved from civic ideals rather than religious or empirical ones and new building types emerged,"In many ancient civilizations, such as those of Egypt and Mesopotamia, architecture and urbanism reflected the the state itself",yes,"In many ancient civilizations, such as those of Egypt and Mesopotamia,the reflection of the state,evolved from civic ideals rather than religious or empirical ones and new building types emerged",1900
a dry mouth can lead to bad breath caused by bacteria,Drinking lemon juice prevents the building of bacteria,yes,Drinking lemon juice prevents a dry mouth that can lead to bad breath,1901
"With your banking data being prone to theft, all of your personal information is at risk as well",if your financial accounts are held on a bank's server then your financial information could be fair game to being stolen,yes,if your financial accounts are held on a bank's server then all of your personal information is at risk,1902
God had gifted prophets with specific miracles.,Jesus’ miracle was to transmute water into wine.,yes,God can transmute water into wine.,1904
"Pest control includes the management of weeds, insects, mites, and diseases",Integrated pest management attempts to keep pest populations below the number which would give rise to economic loss,yes,"the management of weeds, insects, mites, and diseases attempts to keep pest populations below the number which would give rise to economic loss",1908
Rapid urbanization is exacerbating the impact of environmental threat,Common natural hazards include flooding and tropical cyclones,yes,Rapid urbanization is exacerbating the impact of flooding and tropical cyclones,1909
"A Mutual relationship between parents and teachers, might help parents to keep up with their child's performance at school","When there is technology in the classroom, then there are more opportunities for parents and teachers to connect with each other",yes,"When there is technology in the classroom, parents can keep up with their child's performance at school",1910
The clinic's experts say exercise which increases a person's heart rate slowly can help migraine sufferers.,Aerobic exercise and swimming increases a person's heart rate slowly,yes,The clinic's experts say aerobic exercise and swimming can help migraine sufferers.,1911
Media coverage of crimes and suspects leads to public awareness,Defense attorneys might face challenges because of communal recognition,yes,Defense attorneys might face challenges because the media coverage of crimes and suspects,1914
"Exercising makes muscles grow, consequently rises their total mass",the weight of muscles has a direct influence on enhancing bone density.,yes,Exercising has an influence on enhancing bone density.,1917
Superman's vitals immadiately dropped as he touched Kryptonite.,Exposure to Kryptonite weakens the  body structure of Kryptonians.,yes,Superman is Kryptonian.,1918
The amount of foreign investments is very low in unreliable economies,inflationary cycles make an economy seem less reliable,yes,Inflationary cycles reduce the levels of foreign investments,1920
Dmitri Mendeleev devised the Periodic Table.,Periodic Table helps to predict the properties of elements,yes,Dmitri Mendeleev helped to predict the properties of elements,1926
Eye drops moisturize dehydrated eyes.,Moisturizing eyes improves the sight.,yes,Eye drops improve the sight,1928
Excessive pumping lowers the groundwater table.,"When groundwater levels decline too far, it leads to drying up of wells.",yes,Excessive pumping leads to drying up of wells.,1929
"Whenever subtle structural changes, hair is most vulnerable to damage.","When hair is wet, subtle structural changes.",yes,"When hair is wet, hair is most vulnerable to damage.",1931
boating on international waters does not require any license, international waters is defined as anything beyond 12 miles from the nearest coastal point of a nation,yes,boating beyond 12 miles from the nearest coastal point of a nation doesn’t require any license,1932
winning an international competition ranks up team's professional statistics.,Iranian baskeball team won the FIBA Asia Championship.,yes,Iranian baskeball team's statistics ranked up,1933
"Washing, styling and coloring provide you to lose some of the fibrous proteins that make up your hair's cortex.","Losing some of the fibrous proteins that make up your hair's cortex make your hair thin, fragile and prone to breakage.",yes,"Washing, styling and coloring make your hair thin, fragile and prone to breakage",1938
People who overthink about their difficulties tend to be sleep-loss.,Sleep-deprived people are more likely to report increased feelings of worthlessness,yes,people who think too much about their problems are more likely to report increased feelings of worthlessness,1939
One of the most common disadvantages of wind turbines is the noise pollution they generate,Typical weaknesses of wind turbines are the reason new wind farms come up against strong public objection,yes,Noise pollution is the reason new wind farms come up against strong public objection,1940
Tesla cars are equipped with auto-pilot technology.,remotely operating cars may instigate catastrophic car accidents.,yes,Tesla carsmay instigate catastrophic car accidents.,1942
most drugs besides having benefits have some side effects,the varying side effects of drugs can alter your mood and emotions ,yes,most drugs besides having benefits can alter your mood and emotions,1944
Most of us spend a large percentage of our day at work,It is very important to enjoy the people you spend most of your time with,yes,It is very important to enjoy the people at work,1945
Massive data project attempts to trace back the DNA of black people.,Tracking the hierarchy of African-Americans will assist them find their enslaved ancestors.,yes,Massive data project will assist black people find their enslaved ancestors.,1946
"When hair is wet, subtle structural absorbs water.","If subtle structural absorbs water, its structure changes.",yes,"When hair is wet, subtle structural changes.",1956
defensive pessimism actually helps anxious people focus away from their emotions., Thinking independently from feelings can help people plan and act effectively.  ,yes,defensive pessimism actually helps anxious people plan and act effectively.  ,1959
trains travel on rails which have no traffic,The lack of traffic can significantly decrease the duration of your travels,yes,Trains can significantly decrease the duration of your travels,1960
The only reason of fear in adults is because of parents' bad behavior in their childhood.,all people who are timid are liars.,yes,telling lie in adults is the cause of bad bahaviour of parents in childhood.,1961
Increased production of cortisol increases fat storage ,Weight gain fastens when fat storage is increased ,yes,Increased production of cortisol fastens weight gain,1962
Butane is considered as a Green house gas,Green house gases are burnt to minimize their effect,yes,Butane is burnt to minimize its effect,1963
"Foods which contain harmful viruses, bacteria, and parasites increases your risk of foodborne illness, otherwise known as food poisoning.","Undercooked or raw meat of any kind may harbor harmful viruses, bacteria, and parasites",yes,"Undercooked or raw meat of any kind may increases your risk of foodborne illness, otherwise known as food poisoning.",1964
"palatable means that is very quickly broken down in the mouth, does not require much chewing.",Fast food is highly palatable.,yes,"Fast food is very quickly broken down in the mouth, does not require much chewing.",1965
consumers who have more income will tend to spend more which can help economic growth,A potential benefit of increasing the minimum wage is that it boosts the income of low-income workers,yes,A potential benefit of increasing the minimum wage economic growth,1966
Drought conditions jeopardize access to cleaning water,Inaccessibility to clean water can increase the risks of certain diseases like cholera,yes,Drought conditions can increase the risks of certain diseases like cholera,1967
"When excellency is demanded, you have to challenge yourself to do your best",The best job is the one that forces you to grow beyond your current skill set,yes,The best job is the one that demands excellency,1969
Digital point-of-sale and supporting software helped SMEs improve internal operations,Digital Point of Sale is proven to attract more attention than traditional advertising by capturing the customer's curiosity,yes,capturing the customer's curiosity can improve SMEs internal operations,1971
Contracted pathways resembles the high historic value of a city.,Tabriz is made of narrow streets and avenues.,yes,Tabriz has high historic value.,1973
Tourism allows a community to diversify their sources of income,Expanding the sources of earnings is especially important for rural communities,yes,Tourism is especially important for rural communities,1974
An online ordering system provides you with customer related data,"When you have analytics about your customers, you can send targeted promotions to them",yes,you can send targeted promotions to your customers with an online ordering system,1975
differential diagnostic used to identify the presence of the disease where multiple symptoms are possible,SLE symptoms vary widely and come and go unpredictably,yes, differential diagnostic used to identify the SLE,1976
"kwashiorkor is a condition in which the deprivation of protein and calories from an individual’s diet will lead to failure to thrive, edema, excessive hair growth, and depigmentation, along with the development of red hair.",Severe malnutrition can lead to a condition known as kwashiorkor.,yes,"Severe malnutrition can lead to a condition in which the deprivation of protein and calories from an individual’s diet will lead to failure to thrive, edema, excessive hair growth, and depigmentation, along with the development of red hair.",1977
Supporting medical expenses provides more access to physicals and preventative medicine. ,graduates have more benefits including health insurance.,yes,graduates have more access to physicals and preventative medicine.,1980
Mediterranean landscapes possess abundant traces of salt and unusual gravel.,The plentiful salt and gravel in area is an evidence of desert territory.,yes,Mediterranean landscapes once was a desert.,1981
nature-based reservoirs allow achieving a trade-off between human water demand and riverine ecosystems protection,"with the capability of reaching a resolution between the need for water and the conservation of river biomes, it is possible to contribute to the local sustainable development of social economy and ecological environment",yes,it is possible to contribute to the local sustainable development of social economy and ecological environment with nature-based reservoirs,1984
science and technology upsurge in a country results in fortified infrastructure and prosperity.,Iran has the Highest science & technology growth rate in the world.,yes,Iran has  fortified infrastructure and prosperity.,1985
Leeches penetrates the host’s skin to consume blood.,Penetrated skin makes host’s body vulnerable to infection.,yes,Leeches make host’s body vulnerable to infection.,1986
Coal is a nonrenewable resource.,Nonrenewable resources do not exist in infinite supply.,yes,Coal does not exist in infinite supply.,1987
"Insoluble fiber also helps balance the pH in your intestine, and may prevent diverticulitis.",Diverticulitis is inflammation of the intestine.,yes,"Insoluble fiber also helps balance the pH in your intestine, and may prevent inflammation of the intestine.",1989
Regions with a high amount of burning oil tend to have severe air pollution. ,"transport is a major user of energy, burning most of the world's petroleum.",yes,transport is a major cause of air pollution.,1993
Antioxidants are known to prevent cancer,Lycopene and vitamin C are anti-inflammatory antioxidants found in watermelon,yes,The Lycopene and vitamin C found in watermelon are known to prevent cancer,1995
One of the most cited economic impacts of the fatness is direct medical spending.,The growing childhood obesity epidemic is a result of technology.,yes, direct medical spending is one of the result of technology.,1997
Increased insulin release makes your body resistant to insulin ,"When you eat sugary food, insulin release in your body increases",yes,When you eat sugary food your body becomes resistant to insulin ,1998
Antioxidants like gallic acid and other polyphenols help prevent damage to cells caused by unstable molecules known as free radicals.,"The molasses in muscovado provides some antioxidants as well, including gallic acid and other polyphenols.",yes,The molasses in muscovado help prevent damage to cells caused by unstable molecules known as free radicals.,1999
rising levels of carbon dioxide are turning down global air conditioner.,Deforestation is rising the amount of CO2.,yes,Deforestation is turning down global air conditioner.,2001
Milan Fashion week annually catches the interest of many people looking for new clothing materials.,Fashion designers tend to introduce their new line of work in places with high interest.,yes,Fashion designers are interested to participate in Milan Fashion Week.,2003
thinking problems make both short- and long-term changes in the brain.,"Abuse, whether physical, emotional or verbal, can make some problems with your mental health.",yes,"Abuse, whether physical, emotional or verbal, can make both short- and long-term changes in the brain.",2004
"you will not repeat your mistakes, when you find out about them",Constructive critics help children recognize their mistakes,yes,Constructive critics helps children not to repeat their mistakes,2005
mumps virus makes your saliva galnds swell up,mumps is a contagious disease caused by a virus,yes,mumps is a contagious disease which makes your saliva glands swell up,2007
Diets that are high in protein and meat may cause calcium loss.,Main reason of osteoporosis and poor bone health is calcium loss.,yes,Diets that are high in protein and meat may cause osteoporosis and poor bone health is calcium loss.,2008
Ultrasonic waves are utilized for vibrating water,vibration of water breaks its components,yes,Ultrasonic waves breaks water's components,2013
"When abnormal cells divide rapidly, and spread to other tissue and organs an umbrella term for a large group of diseases occure.","Cancer occure when abnormal cells divide rapidly, and spread to other tissue and organs.",yes,Cancer is an umbrella term for a large group of diseases.,2014
